French	3	26599942	2848
			1)	ddi	2472	380	1.0207711E-5
		16)	dy	0	0	0.0
			1)	dyn	2503	359	9.643601E-6
			2)	dy_	2628	289	7.763233E-6
	4)	n	0	0	0.0
		1)	nt	0	0	0.0
			1)	nt_	5	281950	0.007573853
			2)	nte	98	49782	0.0013372638
			3)	ntr	126	41190	0.0011064621
			4)	nts	172	32215	8.6537213E-4
			5)	nti	191	29308	7.872831E-4
			6)	nta	234	24535	6.5906893E-4
			7)	nté	354	16091	4.322428E-4
			8)	ntu	1944	1009	2.7104159E-5
			9)	nto	2074	807	2.1677954E-5
			10)	nth	2476	375	1.0073399E-5
			11)	ntô	2591	308	8.273618E-6
			12)	ntè	2777	228	6.1246265E-6
		2)	ns	0	0	0.0
			1)	ns_	14	198984	0.005345187
			2)	nsi	205	27784	7.4634486E-4
			3)	nst	320	17405	4.6754003E-4
			4)	nse	342	16586	4.455397E-4
			5)	nsa	774	6595	1.771575E-4
			6)	nsp	874	5548	1.4903258E-4
			7)	nso	1032	4288	1.15185954E-4
			8)	nsé	1039	4241	1.1392342E-4
			9)	nsu	1134	3667	9.850441E-5
			10)	nsc	1427	2195	5.896296E-5
			11)	nsf	1636	1628	4.3731983E-5
			12)	nsn	1904	1061	2.8501003E-5
			13)	nsm	2082	800	2.1489917E-5
		3)	ne	0	0	0.0
			1)	ne_	23	143104	0.0038441163
			2)	nes	231	24715	6.639041E-4
			3)	nem	386	14724	3.9552193E-4
			4)	ner	473	11859	3.1856116E-4
			5)	nel	782	6436	1.7288639E-4
			6)	nen	841	5864	1.5752109E-4
			7)	neu	1598	1741	4.6767433E-5
			8)	net	1794	1280	3.438387E-5
			9)	nex	1910	1055	2.833983E-5
			10)	nez	2378	456	1.2249253E-5
		4)	no	0	0	0.0
			1)	nou	59	74356	0.0019973803
			2)	nom	309	18191	4.8865384E-4
			3)	not	399	13919	3.738977E-4
			4)	non	452	12475	3.351084E-4
			5)	nos	806	6147	1.6512316E-4
			6)	nor	917	5232	1.4054406E-4
			7)	nol	1493	2024	5.436949E-5
			8)	nov	1948	1004	2.6969847E-5
			9)	noi	2077	806	2.1651093E-5
			10)	nop	2136	729	1.9582687E-5
			11)	noc	2381	455	1.2222391E-5
			12)	nog	2813	213	5.7216907E-6
		5)	nc	0	0	0.0
			1)	nce	83	57156	0.0015353472
			2)	nci	442	12655	3.3994362E-4
			3)	nco	519	10554	2.8350574E-4
			4)	nc_	735	7138	1.9174379E-4
			5)	nct	974	4769	1.2810677E-4
			6)	ncl	1107	3806	1.02238286E-4
			7)	ncé	1284	2803	7.52953E-5
			8)	ncu	1297	2745	7.373728E-5
			9)	ncr	1310	2683	7.207181E-5
			10)	nch	1455	2133	5.7297493E-5
			11)	nca	2086	795	2.1355605E-5
			12)	ncè	2512	355	9.536151E-6
		6)	nn	0	0	0.0
			1)	nne	109	48147	0.0012933438
			2)	nné	550	10011	2.6891945E-4
			3)	nna	685	7663	2.0584655E-4
			4)	nnu	1429	2187	5.874806E-5
			5)	nno	1651	1592	4.2764936E-5
			6)	nni	1655	1580	4.2442585E-5
			7)	nnê	2785	224	6.017177E-6
		7)	nd	0	0	0.0
			1)	nde	227	25282	6.791351E-4
			2)	ndr	380	14876	3.9960502E-4
			3)	nda	411	13552	3.640392E-4
