French	3	196667698	4358
			13)	isq	1293	26105	1.0356737E-4
			14)	isf	1711	13561	5.380108E-5
			15)	isà	2192	6523	2.587895E-5
			16)	isr	2350	5024	1.993191E-5
			17)	isj	2828	2161	8.573418E-6
			18)	isu	3041	1561	6.1930155E-6
			19)	isè	3374	910	3.610278E-6
			20)	is 	3756	499	1.979702E-6
			21)	ish	4348	202	8.014024E-7
		6)	ie	0	0	0.0
			1)	ien	53	470924	0.0018683149
			2)	ie_	137	281542	0.0011169724
			3)	ier	183	225475	8.945356E-4
			4)	ieu	247	181821	7.213455E-4
			5)	ies	600	78711	3.122732E-4
			6)	iel	725	65698	2.606462E-4
			7)	iem	1853	11411	4.52713E-5
			8)	iez	2043	8427	3.3432763E-5
			9)	ied	2387	4667	1.851557E-5
			10)	iei	2689	2746	1.0894311E-5
			11)	iet	2753	2518	9.989759E-6
			12)	ief	3977	349	1.3846011E-6
			13)	ie 	4006	335	1.3290584E-6
			14)	iew	4152	274	1.0870508E-6
		7)	in	0	0	0.0
			1)	int	81	376889	0.0014952462
			2)	ine	195	215502	8.549694E-4
			3)	ins	201	210936	8.368545E-4
			4)	in_	257	174670	6.92975E-4
			5)	ina	326	150150	5.9569586E-4
			6)	ini	411	119600	4.744937E-4
			7)	inc	412	119379	4.736169E-4
			8)	ind	457	106312	4.2177568E-4
			9)	inf	706	67133	2.6633934E-4
			10)	inu	1022	40145	1.592688E-4
			11)	inv	1039	39457	1.5653927E-4
			12)	iné	1128	33836	1.3423887E-4
			13)	ino	1590	16861	6.689329E-5
			14)	inq	1653	15116	5.997029E-5
			15)	ing	1656	15093	5.987904E-5
			16)	inn	1840	11556	4.5846566E-5
			17)	inj	2480	3945	1.565115E-5
			18)	inh	2863	2053	8.144946E-6
			19)	inl	3038	1567	6.2168197E-6
			20)	ink	3747	506	2.0074733E-6
			21)	in 	4050	319	1.265581E-6
			22)	inz	4340	204	8.0933705E-7
		8)	iv	0	0	0.0
			1)	ive	107	333846	0.00132448
			2)	ivi	664	71484	2.8360123E-4
			3)	ivr	1259	27316	1.08371816E-4
			4)	iva	1377	22240	8.823361E-5
			5)	ivé	1625	15981	6.340204E-5
			6)	ivo	2324	5243	2.0800755E-5
			7)	ivu	3950	369	1.4639479E-6
		9)	iè	0	0	0.0
			1)	ièr	159	254151	0.001008303
			2)	ièm	990	42518	1.686833E-4
			3)	ièc	2268	5819	2.3085942E-5
			4)	ièg	2575	3434	1.36238405E-5
			5)	ièv	2587	3345	1.3270747E-5
			6)	ièt	2785	2316	9.188356E-6
			7)	ièn	3609	630	2.4994233E-6
		10)	il	0	0	0.0
			1)	il_	184	224686	8.9140545E-4
			2)	ili	222	199661	7.921228E-4
			3)	ill	232	191443	7.595192E-4
			4)	ile	696	67907	2.6941005E-4
			5)	ils	935	46583	1.8481053E-4
			6)	ila	1598	16734	6.6389446E-5
			7)	ilà	2112	7447	2.954477E-5
			8)	ilo	2310	5339	2.118162E-5
			9)	ilé	2639	2992	1.18702765E-5
			10)	ilè	3255	1105	4.383909E-6
			11)	ilm	3527	721	2.860451E-6
			12)	ilt	3681	555	2.2018728E-6
			13)	ilu	3765	489	1.9400286E-6
		11)	im	0	0	0.0
			1)	imp	194	215705	8.5577474E-4
			2)	ime	360	136829	5.42847E-4
