English	3	43770781	2924
			6)	ows	1528	3208	5.144766E-5
			7)	owl	1644	2657	4.2611107E-5
			8)	owt	1763	2048	3.284439E-5
			9)	owu	2579	405	6.4951064E-6
			10)	owh	2849	234	3.7527282E-6
		9)	ol	0	0	0.0
			1)	oli	250	36710	5.887293E-4
			2)	oll	697	13592	2.1797899E-4
			3)	olu	708	13415	2.1514038E-4
			4)	ole	721	13154	2.1095465E-4
			5)	olv	914	9554	1.5322036E-4
			6)	old	1119	6983	1.1198847E-4
			7)	olo	1252	5472	8.77561E-5
			8)	ol_	1271	5249	8.417979E-5
			9)	ola	1691	2393	3.837726E-5
			10)	ols	1831	1807	2.89794E-5
			11)	oly	2636	357	5.725316E-6
		10)	os	0	0	0.0
			1)	ose	269	34390	5.5152277E-4
			2)	ost	539	18486	2.9646553E-4
			3)	osa	585	16339	2.6203346E-4
			4)	oss	630	15269	2.4487355E-4
			5)	osi	670	14523	2.329097E-4
			6)	osp	1812	1884	3.0214274E-5
			7)	os_	2094	1074	1.722406E-5
			8)	osu	2428	552	8.852589E-6
			9)	oso	2681	322	5.164011E-6
			10)	osm	2700	312	5.003638E-6
		11)	op	0	0	0.0
			1)	ope	289	32002	5.132257E-4
			2)	opo	400	24584	3.9426098E-4
			3)	opl	620	15406	2.4707065E-4
			4)	opt	817	11155	1.7889608E-4
			5)	opi	939	9213	1.4775165E-4
			6)	opm	944	9189	1.4736675E-4
			7)	opp	976	8696	1.3946036E-4
			8)	opr	1444	3760	6.0300248E-5
			9)	op_	1452	3706	5.9434235E-5
			10)	opu	1645	2652	4.253092E-5
			11)	oph	1980	1339	2.1473945E-5
			12)	ops	2179	918	1.4722242E-5
			13)	opa	2379	614	9.846903E-6
			14)	opy	2670	329	5.2762716E-6
		12)	oi	0	0	0.0
			1)	oin	339	28033	4.4957365E-4
			2)	oic	1752	2084	3.3421733E-5
			3)	oid	1802	1922	3.0823692E-5
			4)	oil	1880	1635	2.6220985E-5
			5)	ois	2085	1097	1.7592918E-5
			6)	oit	2103	1054	1.6903314E-5
		13)	od	0	0	0.0
			1)	od_	632	15211	2.4394337E-4
			2)	odu	644	15007	2.4067177E-4
			3)	oda	1015	8237	1.3209925E-4
			4)	ode	1284	5160	8.275247E-5
			5)	ods	1567	3009	4.8256235E-5
			6)	odi	1607	2849	4.5690267E-5
			7)	ody	1731	2177	3.4913202E-5
			8)	odd	2701	312	5.003638E-6
			9)	odo	2869	227	3.6404672E-6
		14)	oc	0	0	0.0
			1)	oce	652	14846	2.3808976E-4
			2)	oci	655	14815	2.375926E-4
			3)	ocr	1083	7364	1.1809868E-4
			4)	oca	1148	6603	1.05894294E-4
			5)	ocu	1244	5559	8.915135E-5
			6)	occ	1516	3286	5.2698568E-5
			7)	ock	1534	3185	5.10788E-5
			8)	oco	2114	1026	1.645427E-5
			9)	oct	2526	436	6.992263E-6
			10)	oc_	2871	226	3.6244298E-6
			11)	ocl	2912	206	3.3036838E-6
		15)	ob	0	0	0.0
			1)	obl	680	14058	2.2545237E-4
			2)	obj	1156	6528	1.046915E-4
			3)	oba	1308	4922	7.893559E-5
			4)	obs	1324	4793	7.686678E-5
			5)	obv	1764	2042	3.274817E-5
			6)	obi	1860	1687	2.7054926E-5
			7)	ob_	1942	1443	2.3141823E-5
			8)	obt	1985	1317	2.1121125E-5
			9)	obo	2490	472	7.5696057E-6
			10)	obb	2589	398	6.3828456E-6
		16)	og	0	0	0.0
			1)	ogr	698	13592	2.1797899E-4
			2)	oge	1414	4060	6.511144E-5
			3)	ogn	1495	3428	5.4975866E-5
			4)	ogi	1507	3343	5.3612694E-5
			5)	ogu	1579	2958	4.7438334E-5
			6)	ogy	1725	2198	3.5249985E-5
			7)	oga	2273	785	1.258928E-5
		17)	oo	0	0	0.0
			1)	ood	704	13451	2.1571772E-4
			2)	oo_	1053	7725	1.2388814E-4
			3)	oop	1070	7585	1.2164292E-4
			4)	ook	1131	6878	1.1030455E-4
			5)	oor	1189	6147	9.858129E-5
			6)	oon	1518	3260	5.2281597E-5
			7)	oot	1702	2329	3.7350874E-5
			8)	ool	1747	2108	3.3806627E-5
			9)	oos	2073	1127	1.8074037E-5
			10)	oom	2263	800	1.282984E-5
			11)	oof	2388	601	9.638417E-6
		18)	oe	0	0	0.0
			1)	oes	865	10132	1.6248993E-4
			2)	oev	2497	465	7.4573445E-6
			3)	oec	2510	448	7.1847103E-6
			4)	oeu	2765	275	4.4102576E-6
			5)	oex	2868	227	3.6404672E-6
		19)	oa	0	0	0.0
			1)	oad	1302	4974	7.976953E-5
			2)	oac	1304	4964	7.9609155E-5
			3)	oal	1885	1620	2.5980426E-5
